解算X	解算Y	原始X	原始Y	误差X	误差Y
1554.34	377.314	1551.27	380.12	-3.06802	2.80645
621.09	83.0267	621.375	87.125	0.284706	4.09828
757.277	84.7228	758	88.875	0.72266	4.15225
893.247	86.1234	893.25	90.75	0.00339318	4.6266
1029.3	87.8182	1028.75	91.75	-0.552914	3.93175
1164.46	89.1331	1163.13	93.375	-1.33705	4.24188
1300.07	90.8227	1298.13	94.75	-1.94342	3.92733
1704.28	95.782	1702.5	98.75	-1.78249	2.96796
171.826	1906.47	176	1904.38	4.17409	-2.09195
276.809	1906.01	279.764	1903.86	2.95527	-2.14669
381.975	1905.31	384.125	1904	2.14969	-1.30577
486.764	1905.17	488.5	1904.38	1.73584	-0.791591
591.549	1904.49	592.125	1904.13	0.576472	-0.366073
696.137	1904.29	696.375	1904.25	0.237713	-0.0352926
800.717	1903.92	800.5	1903.75	-0.216531	-0.169926
905.171	1903.63	904.625	1904	-0.546393	0.37281
1009.29	1903.65	1008.29	1905.15	-0.998842	1.49928
1113.36	1903.67	1112.25	1904.25	-1.10708	0.57578
1217.2	1903.42	1216	1903.38	-1.20281	-0.0493588
1320.9	1903.42	1319.5	1902.38	-1.40198	-1.04645
1424.28	1903.39	1422.63	1902.75	-1.65698	-0.642043
1527.76	1903.74	1525.25	1902.38	-2.51323	-1.36784
169.498	1645.76	173.875	1644.63	4.37718	-1.13787
275.015	1646.39	277.625	1646.63	2.60959	0.235582
380.359	1646.64	381.722	1646.83	1.36296	0.195686
590.489	1647.17	590.375	1648.63	-0.113671	1.45172
695.552	1647.37	695.25	1648.63	-0.301872	1.25116
904.94	1647.7	904.25	1650.25	-0.690443	2.55316
1217.65	1647.65	1217.79	1648.84	0.142213	1.19829
1321.66	1647.41	1321.92	1648.69	0.262471	1.28087
1425.52	1647.22	1425.38	1648.25	-0.144681	1.03019
1529.08	1647.51	1528.88	1648.5	-0.208684	0.990807
169.687	1384.16	171.625	1384.75	1.93834	0.591013
275.401	1385.02	277	1385.75	1.59868	0.727956
380.894	1385.34	381.625	1386.38	0.730532	1.03486
486.321	1385.98	485.75	1386.88	-0.570884	0.899228
591.682	1386.54	590.625	1386.75	-1.05688	0.21014
801.797	1386.86	800.75	1388.13	-1.0473	1.26804
906.824	1387.6	906.5	1388.25	-0.323781	0.64757
1116.23	1387.83	1116.5	1388.38	0.269931	0.548997
1220.62	1388.02	1220.75	1388.63	0.133935	0.607809
1324.83	1388.09	1325.75	1388.75	0.919868	0.657415
1428.94	1388.29	1429.5	1388.75	0.560266	0.461373
1533.15	1388.75	1532.96	1388.6	-0.18502	-0.154769
169.131	1119.89	171.875	1120.88	2.74371	0.987216
275.094	1120.53	276.375	1121.63	1.2805	1.09578
380.856	1121.22	381.375	1121.38	0.519085	0.154096
592.219	1122.91	591.25	1122.63	-0.968611	-0.288611
697.659	1124.02	697.125	1123.75	-0.533516	-0.265839
803.202	1124.55	802.75	1123.63	-0.452446	-0.926209
908.294	1125.14	908.25	1124.75	-0.0442228	-0.385488
1013.48	1126.18	1014.25	1125.38	0.767671	-0.808343
1118.23	1126.46	1118.88	1126	0.644175	-0.457125
1222.79	1127.24	1224.13	1126.63	1.335	-0.618827
1327.16	1128.03	1329.13	1127.5	1.96068	-0.529138
1431.1	1127.74	1433.25	1128.13	2.15123	0.389563
1535.36	1129.6	1536.88	1130	1.51466	0.404399
168.911	854.671	171.834	856.152	2.92336	1.48128
382.117	857.464	382.75	858.125	0.63265	0.661235
488.048	858.948	488.5	859.5	0.451897	0.552479
593.931	860.23	593.125	859.75	-0.805931	-0.479637
805.226	862.403	804.75	861.5	-0.4762	-0.902957
910.371	863.505	910.5	862.25	0.129484	-1.25491
1015.51	864.203	1015.75	863.125	0.244127	-1.07781
1120.36	865.059	1121.13	863.875	0.760818	-1.18426
1225.28	865.74	1225.78	865.315	0.496184	-0.42545
1329.92	866.199	1330.13	867.25	0.20707	1.05113
1434.65	866.692	1434.13	868.25	-0.520185	1.55818
1539.17	867.227	1538.5	868.625	-0.671208	1.39797
380.791	325.742	383.5	330.125	2.70929	4.38333
487.438	327.973	489.148	331.816	1.70968	3.84263
593.888	329.471	595.125	333.375	1.23729	3.90442
700.385	331.597	700.625	335	0.240388	3.40327
912.611	334.033	912.433	336.119	-0.178304	2.08555
1018.39	336.022	1017.44	338.112	-0.953844	2.09036
1123.99	337.394	1122.81	340.092	-1.17582	2.69758
1229.5	338.872	1228.13	341.75	-1.37968	2.87817
1334.86	339.9	1332.75	342.5	-2.10952	2.59964
1440.05	341.168	1437.5	344	-2.55096	2.8324
1545.32	342.617	1542.75	346.375	-2.57162	3.7581
904.19	2160.59	904.086	2159.1	-0.103759	-1.48638
1008.28	2160.79	1007.38	2158.88	-0.903904	-1.91081
1112.01	2160.82	1111	2160	-1.00505	-0.824793
1215.64	2160.7	1213.38	2159.38	-2.26637	-1.32634
